weeks,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
16,1962,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,176333
16,1962,0.629,0.335,9,-15.039,1,0.0499,0.806,1.21E-06,0.217,0.834,157.193,177573
16,1962,,,,,,,,,,,,
16,1962,0.544,0.595,8,-7.846,1,0.0721,0.35,0,0.198,0.418,121.84,246467
16,1962,0.215,0.203,5,-12.65,1,0.0346,0.968,0.0585,0.0923,0.143,78.287,248934
16,1962,0.456,0.933,0,-5.212,1,0.153,0.375,0,0.563,0.367,125.051,165800
16,1962,0.552,0.987,11,-3.642,1,0.148,0.00122,0.000279,0.669,0.272,89.986,310267
16,1962,0.782,0.334,10,-11.527,1,0.0369,0.641,0.000241,0.16,0.718,121.137,162573
16,1962,0.72,0.551,7,-9.379,1,0.0728,0.341,0,0.149,0.418,123.077,187376
15,1962,0.595,0.912,10,-3.428,0,0.0884,0.0434,0,0.259,0.762,128.024,234453
15,1962,,,,,,,,,,,,
15,1962,,,,,,,,,,,,
15,1962,0.449,0.938,1,-6.36,1,0.0455,0.00181,0,0.353,0.825,89.695,164667
15,1962,0.367,0.739,11,-7.987,1,0.0411,0.103,0,0.0912,0.328,175.877,306253
15,1962,0.552,0.423,5,-11.109,0,0.0365,0.771,0.881,0.111,0.495,80.871,163747
15,1962,0.422,0.28,5,-11.277,1,0.0365,0.824,0,0.297,0.496,100.839,147841
15,1962,0.446,0.287,6,-9.653,1,0.0505,0.48,0,0.304,0.208,177.668,212393
15,1962,0.478,0.69,3,-10.387,1,0.0718,0.459,5.37E-05,0.164,0.748,125.351,187228
23,1963,0.745,0.894,8,-4.811,1,0.0376,0.154,0.000646,0.0753,0.971,87.498,148520
20,1963,0.719,0.67,9,-9.113,1,0.0903,0.243,0.0223,0.0618,0.96,144.041,270293
18,1963,0.687,0.642,5,-5.279,1,0.0516,0.647,0,0.23,0.91,57.654,67187
18,1963,,,,,,,,,,,,
18,1963,0.364,0.241,8,-14.462,1,0.0476,0.964,0.9,0.113,0.194,122.395,382986
18,1963,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,250760
17,1963,0.634,0.568,5,-7.757,0,0.0354,0.0426,1.85E-06,0.456,0.369,123.885,207347
17,1963,0.561,0.913,5,-5.256,1,0.0539,0.173,1.69E-05,0.204,0.928,163.964,241733
17,1963,0.547,0.678,5,-9.841,0,0.0416,0.432,0,0.114,0.895,125.883,118413
17,1963,,,,,,,,,,,,
17,1963,0.469,0.976,0,-3.569,0,0.111,0.000287,0.217,0.0636,0.222,124.001,298107
16,1963,0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,160240
16,1963,0.717,0.347,11,-10.265,0,0.0636,0.0511,2.43E-06,0.087,0.0589,84.987,235477
16,1963,0.531,0.542,8,-7.721,1,0.0432,0.356,0,0.119,0.726,171.878,200200
16,1963,0.593,0.275,6,-15.25,0,0.0638,0.816,0.0115,0.108,0.363,114.82,87411
16,1963,0.588,0.356,0,-17.877,1,0.0807,0.708,0.0972,0.122,0.763,87.167,349080
16,1963,,,,,,,,,,,,
16,1963,0.899,0.691,0,-7.554,1,0.0497,0.18,0.000451,0.135,0.865,107.951,125302
16,1963,0.73,0.698,7,-5.089,1,0.508,0.0986,0,0.322,0.711,176.146,267013
16,1963,,,,,,,,,,,,
16,1963,,,,,,,,,,,,
16,1963,0.336,0.636,0,-13.785,1,0.0374,0.385,0.909,0.414,0.521,152.423,157760
16,1963,0.704,0.729,2,-9.371,1,0.0288,0.806,0.903,0.187,0.966,139.144,119973
16,1963,0.476,0.584,10,-12.357,1,0.038,0.119,0,0.274,0.417,88.026,255467
16,1963,0.708,0.641,7,-4.296,1,0.0335,0.205,0,0.0945,0.253,113.082,268120
16,1963,0.196,0.751,9,-7.39,1,0.0405,0.00252,0.667,0.378,0.629,145.719,195093
15,1963,0.506,0.258,7,-11.822,1,0.0293,0.784,0,0.0942,0.544,109.595,151067
15,1963,,,,,,,,,,,,
15,1963,0.715,0.78,2,-6.688,1,0.0327,0.0109,0.0017,0.119,0.838,115.897,246600
15,1963,0.62,0.869,6,-5.479,1,0.0462,0.615,0,0.131,0.597,126.019,216573
15,1963,,,,,,,,,,,,
15,1963,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173
15,1963,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587
15,1963,0.376,0.246,10,-9.803,1,0.0286,0.862,0,0.155,0.282,80.167,168093
15,1963,0.792,0.803,7,-7.486,1,0.0667,0.23,5.04E-06,0.0639,0.881,132.845,123693
15,1963,0.717,0.475,4,-12.915,0,0.0669,0.302,0,0.104,0.402,176.004,132989
15,1963,,,,,,,,,,,,
15,1963,0.673,0.614,7,-5.426,1,0.103,0.0782,0,0.139,0.362,176.052,289747
15,1963,0.306,0.538,1,-8.391,1,0.045,0.805,0.00877,0.344,0.273,48.797,81137
15,1963,0.69,0.88,1,-3.525,1,0.284,0.0384,0.502,0.126,0.813,159.933,174250
15,1963,,,,,,,,,,,,
15,1963,0.718,0.695,1,-5.375,0,0.0251,0.0707,0,0.132,0.687,88.019,165430
14,1963,,,,,,,,,,,,
14,1963,0.685,0.713,6,-4.705,0,0.266,0.179,0,0.377,0.301,95.092,239470
14,1963,0.551,0.386,0,-10.22,1,0.132,0.659,0,0.125,0.245,116.409,199387
14,1963,0.522,0.37,2,-8.364,1,0.0253,0.651,0,0.142,0.653,105.826,148533
